PubmedID,Title,Publication Date,NonAcademicAuthors,Affiliations
40727709,Self-medication and off-label prescribing in post COVID-19 syndrome: Baseline data of a randomized acupressure and qigong trial.,2025,"Ute Engelhardt, Rainer Nögel, Josef Hummelsberger, Anna Mietzner, Friedemann Paul","NeuroCure Clinical Research Center, Charité - Universitätsmedizin Berlin, Berlin, Germany., International Society for Chinese Medicine (SMS), Munich, Germany., TCM-Praxis-Mietzner, Berlin, Germany."
40727707,"Epidemiological, clinical, and molecular analysis of human adenovirus infections in hospitalized children with acute respiratory infections in Tianjin, China.",2025,None,None
40727681,Cancellation and Resumption of Elective Surgeries Over Time Across a National Sample of US Hospitals During the COVID-19 Pandemic.,2024,Kelly C Vranas,"Center to Improve Veteran Involvement in Care, Health Services Research & Development, VA Portland Health Care System, Portland, OR."
40727680,Impacts of ,2025,Virginie Dakuyo,"Laboratoires PHYTOFLA, Banfora BP 293, Burkina Faso."
40727674,A spatiotemporal transmission simulator for respiratory infectious diseases and its application to COVID-19.,2025,Liqun Fang,"State Key Laboratory of Pathogens and Biosecurity, Academy of Military Medical Sciences, Beijing, 100071, PR China."
40727499,"Percent Pulmonary Damage on Hospital Admission is Predictive of COVID-19 Aggravation, but Serum Protein Electrophoresis is Not.",2025,"Stéphane Di Mascio, Fadi Khadra, Christine Tchikladzé-Mérand","Clinique de l'Estrée - Elsan, Stains, France., Elsan, Paris, France."
40727493,"Impact, Trends, and Visibility of Scientific Publications on Neurological Effects of COVID-19 Vaccine: A Scientometric Analysis.",2025,None,None
40727423,Investigating the Interplay of SARS-CoV-2 RNAemia and Peripheral Inflammation in Platelet Dysfunction During Acute SARS-CoV-2 Infection.,2025,None,None
40727416,Recovery of GLRLM Features in Degraded Images using Deep Learning and Image Property Models.,2025,None,None
40727350,Case study of a 47-year-old long COVID patient diagnosed with Alzheimer's disease.,2025,None,None
